78	a-blīcgan	NULL	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
79	a-blignys	NULL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
80	a-blindan	NULL	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
81	a-blinnan	646	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
82	a-blīsian	NULL	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
83	a-blōtan	NULL	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
84	a-blȳsgung	NULL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
90	a-borgian	NULL	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
91	a-bracian	NULL	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
92	a-bradwian	NULL	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
95	a-breātan	NULL	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
96	a-brecan	NULL	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
97	a-bredan	NULL	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
98	a-bredwian	NULL	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
99	a-brēgan	NULL	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
100	a-bregdan	NULL	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
101	ā-brēmende	564	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	a-breōtan	NULL	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
103	a-breōðan	239;494	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
107	abrotanum	NULL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	a-broten	NULL	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	a-broðennes	NULL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
113	a-bryrdan	NULL	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
114	a-bryrdnes	NULL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
115	a-brytan	NULL	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
116	a-būfan	NULL	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	a-būgan	NULL	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
121	a-būtan	559	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	a-bycgan	NULL	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
123	a-byffan	NULL	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
124	a-bȳgan	NULL	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
125	a-bȳgendlīc	NULL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	a-bylgan	NULL	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
127	a-bylg-nes	NULL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
128	a-bylgþ	NULL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
129	a-byligd	NULL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
131	a-bȳsgian	NULL	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
132	a-bȳsgung	NULL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
133	a-bȳwan	NULL	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
